id_plt,id_cohort,id_axis,N_phytomer,HS_final,TT_stop_axis,TT_del_axis,id_dim,id_phen,id_ear,TT_em_phytomer1,TT_col_phytomer1,TT_sen_phytomer1,TT_del_phytomer1
121,10,T2.0.1,5,4.76421185347,1401.0,2001.0,10050,1005,NA,576.572933145,828.176816901,1529.32999005,2001.08727209
121,10,T2.3,6,5.02477296901,1302.0,1902.0,10060,1006,NA,592.29817588,801.96807901,1163.83992057,1556.97098894
121,10,T3.2,6,4.69149731206,1301.0,1901.0,10050,1006,NA,592.29817588,801.96807901,1163.83992057,1556.97098894
121,10,T7,6,4.88558758446,1301.0,1901.0,10050,1006,NA,592.29817588,801.96807901,1163.83992057,1556.97098894
122,1,MS,13,13.0,NA,NA,1131,113,1.0,173.423113033,322.443956822,649.058840871,928.492521944
122,4,T1,11,11.0,NA,NA,4111,411,1.0,410.620883064,552.618041986,721.239668205,987.484341183
122,5,T2,10,6.52740858613,1174.0,1774.0,5070,510,NA,606.662420305,732.464362183,881.854168162,1117.73280918
122,6,T1.0,9,6.7000213139,1219.0,1819.0,6070,609,NA,601.420672727,741.200608146,907.189281457,1169.27666037
122,6,T3,9,6.38976311502,1219.0,1819.0,6070,609,NA,601.420672727,741.200608146,907.189281457,1169.27666037
122,7,T1.1,8,8.0,NA,NA,7081,708,1.0,390.652532591,585.898626108,817.753362159,1183.8397875
122,10,T2.3,7,6.19955585343,1345.0,1945.0,10070,1007,NA,586.444251075,766.1613109,983.007334416,1319.97682159
122,10,T3.2,6,5.62334708699,1405.0,2005.0,10060,1006,NA,575.211934836,784.881837965,1146.75367953,1539.8847479
122,10,T7,7,6.09157904446,1345.0,1945.0,10070,1007,NA,586.444251075,766.1613109,983.007334416,1319.97682159
123,1,MS,13,13.0,NA,NA,1131,113,1.0,184.174641174,333.195484964,659.810369013,939.244050086
