index,axe,hins,rank,ranktop,plant,inerv,x,y,variety_name,side,harvest,relative_ranktop
18,MS,5.38861889936,6,8.0,1,70,7.83037585709,7.08869547527,Tremie12,1,1,3
19,MS,5.38861889936,6,8.0,1,70,8.31896960571,7.41836442104,Tremie12,1,1,3
0,MS,6.53962255173,7,7.0,1,82,-0.0485274666765,0.0199457779882,Tremie12,1,1,2
1,MS,6.53962255173,7,7.0,1,82,0.170982218146,0.59520109765,Tremie12,1,1,2
2,MS,6.53962255173,7,7.0,1,82,0.396699267549,1.16800470045,Tremie12,1,1,2
3,MS,6.53962255173,7,7.0,1,82,0.63310880646,1.73642791292,Tremie12,1,1,2
4,MS,6.53962255173,7,7.0,1,82,0.894986949642,2.29367383947,Tremie12,1,1,2
5,MS,6.53962255173,7,7.0,1,82,1.15686509282,2.85091976601,Tremie12,1,1,2
6,MS,6.53962255173,7,7.0,1,82,1.41874323601,3.40816569256,Tremie12,1,1,2
7,MS,6.53962255173,7,7.0,1,82,1.68062137919,3.96541161911,Tremie12,1,1,2
8,MS,6.53962255173,7,7.0,1,82,1.94249952237,4.52265754566,Tremie12,1,1,2
9,MS,6.53962255173,7,7.0,1,82,2.23570902603,5.06400225644,Tremie12,1,1,2
10,MS,6.53962255173,7,7.0,1,82,2.53087976428,5.60435160623,Tremie12,1,1,2
11,MS,6.53962255173,7,7.0,1,82,2.83243907813,6.14101128642,Tremie12,1,1,2
12,MS,6.53962255173,7,7.0,1,82,3.15296102425,6.66671925344,Tremie12,1,1,2
13,MS,6.53962255173,7,7.0,1,82,3.47348297038,7.19242722045,Tremie12,1,1,2
14,MS,6.53962255173,7,7.0,1,82,3.7940049165,7.71813518746,Tremie12,1,1,2
15,MS,6.53962255173,7,7.0,1,82,4.12741209123,8.23561874456,Tremie12,1,1,2
16,MS,6.53962255173,7,7.0,1,82,4.46928967485,8.74769579184,Tremie12,1,1,2
17,MS,6.53962255173,7,7.0,1,82,4.82281436058,9.25171050498,Tremie12,1,1,2
18,MS,6.53962255173,7,7.0,1,82,5.1817169238,9.75200255432,Tremie12,1,1,2
